sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2956,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
2957,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2958,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2959,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2960,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2961,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2962,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2963,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2964,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
2965,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2966,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2967,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2968,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2969,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
2970,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
2971,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2972,biased,0.09,1110,ZIIIZ,IYIII,ZYIIZ,0011,-1,0
2973,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2974,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
2975,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
2976,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2977,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
2978,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2979,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2980,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2981,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
2982,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2983,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2984,biased,0.09,0111,IIIIY,IXIII,IXIIY,1111,-1,0
2985,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
2986,biased,0.09,1111,IIIYI,IZIII,IZIYI,1010,-1,0
2987,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2988,biased,0.09,1010,ZIIII,ZIIII,IIIII,0000,1,1
2989,biased,0.09,1010,ZIIII,ZIIII,IIIII,0000,1,1
2990,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2991,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2992,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2993,biased,0.09,1010,ZIIII,ZIIII,IIIII,0000,1,1
2994,biased,0.09,1010,ZIIII,ZIIII,IIIII,0000,1,1
2995,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2996,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2997,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
2998,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2999,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
