sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2086,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2087,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2088,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2089,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2090,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2091,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2092,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2093,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2094,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2095,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2096,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2097,bitflip,0.07,1001,IIXXX,IIIZI,IIXYX,0000,-1,0
2098,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2099,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2100,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2101,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2102,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2103,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2104,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2105,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2106,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2107,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2108,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2109,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2110,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2111,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2112,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2113,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2114,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2115,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2116,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2117,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2118,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2119,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2120,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2121,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2122,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2123,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2124,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2125,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2126,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2127,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2128,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2129,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2130,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2131,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2132,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2133,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2134,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2135,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2136,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2137,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2138,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
