sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2822,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2823,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2824,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2825,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2826,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2827,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
2828,depolarizing,0.05,1000,IIIYY,IXIII,IXIYY,0000,-1,0
2829,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2830,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2831,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2832,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
2833,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2834,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2835,depolarizing,0.05,0011,IIIIX,IXIII,IXIIX,1011,-1,0
2836,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2837,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2838,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2839,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2840,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2841,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2842,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2843,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2844,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2845,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2846,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2847,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2848,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2849,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2850,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2851,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2852,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2853,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2854,depolarizing,0.05,1111,IIIYI,IIYII,IIYYI,0001,-1,0
2855,depolarizing,0.05,0110,IIZIZ,IIIIY,IIZIX,0001,-1,0
2856,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2857,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2858,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2859,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2860,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2861,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2862,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2863,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2864,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2865,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2866,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2867,depolarizing,0.05,1100,IIXII,IYIII,IYXII,0001,-1,0
2868,depolarizing,0.05,1100,IIXII,IYIII,IYXII,0001,-1,0
2869,depolarizing,0.05,0100,IIIIZ,YIIII,YIIIZ,1111,-1,0
2870,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2871,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
